Site	Habitat	Type	Altitude	Weather	Cluster_161547	Cluster_668425	Cluster_241469	Cluster_752187	Cluster_796685	Cluster_248211	Cluster_721942	Cluster_734722	Cluster_692050	Cluster_311644	Cluster_483935	Cluster_833323	Cluster_675265	Cluster_537896	Cluster_449097	Cluster_188479	Cluster_424429	Cluster_2863	Cluster_566621	Cluster_397336	Cluster_759930	Cluster_358334	Cluster_293621	Cluster_301649	Cluster_161809	Cluster_476394	Cluster_850747	Cluster_788883	Cluster_836647	Cluster_597927	Cluster_411528	Cluster_914917	Cluster_97672	Cluster_559282	Cluster_112067	Cluster_303390	Cluster_674150	Cluster_458565	Cluster_321625	Cluster_17618	Cluster_257580	Cluster_913331	Cluster_654925	Cluster_541210	Cluster_367823	Cluster_10345	Cluster_732671	Cluster_508656	Cluster_745350	Cluster_310281	Cluster_81534	Cluster_707577	Cluster_539574	Cluster_129567	Cluster_527446	Cluster_6431	Cluster_158304	Cluster_338759	Cluster_5753	Cluster_839541	Cluster_12789	Cluster_618138	Cluster_697099	Cluster_878270	Cluster_181951	Cluster_169932	Cluster_521591	Cluster_211078	Cluster_670880	Cluster_543302	Cluster_616199	Cluster_420414	Cluster_447424	Cluster_416298	Cluster_316427	Cluster_904941	Cluster_544408	Cluster_793319	Cluster_255447	Cluster_886230	Cluster_681593	Cluster_127964	Cluster_486801	Cluster_10224	Cluster_745901	Cluster_724517	Cluster_842700	Cluster_291866	Cluster_372669	Cluster_439405	Cluster_297798	Cluster_814206	Cluster_28889	Cluster_914128	Cluster_95124	Cluster_558697	Cluster_768195	Cluster_567533	Cluster_669036	Cluster_374756	Cluster_588371	Cluster_295690	Cluster_627390	Cluster_424340	Cluster_700389	Cluster_163621	Cluster_611993	Cluster_678144	Cluster_876756	Cluster_562573	Cluster_842610	Cluster_668198	Cluster_343065	Cluster_171845	Cluster_743331	Cluster_718619	Cluster_674674	Cluster_675056	Cluster_564963	Cluster_912220	Cluster_780788	Cluster_182102	Cluster_163961	Cluster_755932	Cluster_359248	Cluster_699057	Cluster_470183	Cluster_454078	Cluster_547630	Cluster_674489	Cluster_669610	Cluster_796682	Cluster_38881	Cluster_697564	Cluster_912864	Cluster_724882	Cluster_739325	Cluster_707731	Cluster_527203	Cluster_571233	Cluster_751793	Cluster_500262	Cluster_189726	Cluster_375345	Cluster_632132	Cluster_584049	Cluster_664807	Cluster_762120	Cluster_137960	Cluster_300679	Cluster_642024	Cluster_343054	Cluster_552439	Cluster_417095	Cluster_155364	Cluster_649212	Cluster_858979	Cluster_191186	Cluster_676562	Cluster_202843	Cluster_751319	Cluster_539744	Cluster_834732	Cluster_447747	Cluster_366958	Cluster_153921	Cluster_261508	Cluster_541725	Cluster_836178	Cluster_317608	Cluster_836491	Cluster_897426	Cluster_668728	Cluster_104711	Cluster_689792	Cluster_754824	Cluster_710128	Cluster_779944	Cluster_614520	Cluster_440520	Cluster_487205	Cluster_22511	Cluster_788932	Cluster_147369	Cluster_157150	Cluster_6662	Cluster_440331	Cluster_25253	Cluster_757490	Cluster_118786	Cluster_417765	Cluster_532003	Cluster_1978	Cluster_367107	Cluster_342593	Cluster_392574	Cluster_88762	Cluster_319429	Cluster_290511	Cluster_294521	Cluster_708790	Cluster_542985	Cluster_559816	Cluster_356140	Cluster_665966	Cluster_896552	Cluster_313064	Cluster_809851	Cluster_515766	Cluster_425889	Cluster_54423	Cluster_12012	Cluster_319390	Cluster_552610	Cluster_169941	Cluster_754949	Cluster_655232	Cluster_618618	Cluster_665179	Cluster_512934	Cluster_13469	Cluster_457633	Cluster_731595	Cluster_183752	Cluster_300765	Cluster_419586	Cluster_767740	Cluster_5111	Cluster_473872	Cluster_495374	Cluster_491824	Cluster_192989	Cluster_915899	Cluster_801902	Cluster_915813	Cluster_864644	Cluster_818668	Cluster_853007	Cluster_458533	Cluster_906619	Cluster_834165	Cluster_553413	Cluster_348663	Cluster_560665	Cluster_536862	Cluster_735163	Cluster_115988	Cluster_587172	Cluster_914455	Cluster_895770	Cluster_611885	Cluster_664854	Cluster_300960	Cluster_409277	Cluster_673604	Cluster_773862	Cluster_543480	Cluster_770266	Cluster_168318	Cluster_857661	Cluster_903459	Cluster_576173	Cluster_348285	Cluster_75418	Cluster_12167	Cluster_396639	Cluster_440182	Cluster_132090	Cluster_26843	Cluster_195252	Cluster_15214	Cluster_888917	Cluster_169579	Cluster_3427	Cluster_179297	Cluster_713156	Cluster_532086	Cluster_703086	Cluster_309013	Cluster_487900	Cluster_559528	Cluster_406734	Cluster_858783	Cluster_688384	Cluster_724191	Cluster_61136	Cluster_538867	Cluster_897049	Cluster_225585	Cluster_260628	Cluster_542309	Cluster_305210	Cluster_666946	Cluster_910431	Cluster_850270	Cluster_23489	Cluster_670695	Cluster_25388	Cluster_671235	Cluster_759061	Cluster_877710	Cluster_834246	Cluster_399039	Cluster_221899	Cluster_664772	Cluster_317909	Cluster_3864	Cluster_542794	Cluster_196804	Cluster_51466	Cluster_912609	Cluster_283556	Cluster_912436	Cluster_840374	Cluster_670590	Cluster_327370	Cluster_897900	Cluster_667635	Cluster_757226	Cluster_798221	Cluster_739152	Cluster_914842	Cluster_413028	Cluster_677188	Cluster_897560	Cluster_547673	Cluster_43043	Cluster_788211	Cluster_906667	Cluster_890711	Cluster_720872	Cluster_335697	Cluster_914512	Cluster_684807	Cluster_305855	Cluster_163900	Cluster_903748	Cluster_674334	Cluster_735502	Cluster_15860	Cluster_897103	Cluster_913879	Cluster_913759	Cluster_793630	Cluster_563588	Cluster_915163	Cluster_378909	Cluster_834746	Cluster_489124	Cluster_511424	Cluster_709963	Cluster_15096	Cluster_751596	Cluster_366943	Cluster_866330	Cluster_915609	Cluster_786913	Cluster_62428	Cluster_534768	Cluster_695489	Cluster_382966	Cluster_779908	Cluster_914143	Cluster_912536	Cluster_612875	Cluster_327678	Cluster_98308	Cluster_370503	Cluster_332983	Cluster_858440	Cluster_566222	Cluster_755339	Cluster_484295	Cluster_540655	Cluster_501085	Cluster_2570	Cluster_497606	Cluster_747649	Cluster_158831	Cluster_234509	Cluster_700408	Cluster_906764	Cluster_437528	Cluster_632194	Cluster_846797	Cluster_665956	Cluster_691079	Cluster_589988	Cluster_538958	Cluster_544258	Cluster_546718	Cluster_545086	Cluster_915336	Cluster_362760	Cluster_189548	Cluster_907757	Cluster_493917	Cluster_2104	Cluster_361417	Cluster_327435	Cluster_114483	Cluster_902482	Cluster_539583	Cluster_541474	Cluster_912484	Cluster_778268	Cluster_291870	Cluster_904572	Cluster_689934	Cluster_737981	Cluster_899721	Cluster_708269	Cluster_39708	Cluster_22843	Cluster_897579	Cluster_915835	Cluster_10560	Cluster_893257	Cluster_908096	Cluster_541325	Cluster_541790	Cluster_3868	Cluster_12838	Cluster_57485	Cluster_536279	Cluster_913716	Cluster_893503	Cluster_906366	Cluster_107929	Cluster_795660	Cluster_59705	Cluster_784516	Cluster_320134	Cluster_499219	Cluster_891274	Cluster_538840	Cluster_915382	Cluster_553138	Cluster_913638	Cluster_2475	Cluster_231622	Cluster_358390	Cluster_163368
MF10	MF	5	1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	979	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	28
NF01	NF	6	700	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28178	0	0	86	0
NF02	NF	6	700	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	410	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1215	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1264	0	0	260	0
NF04	NF	6	700	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	194	0	0	0	0	0	0	20300	1	0	217	0
NF05	NF	6	550	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35687	84	0	0	2	169
NF06	NF	6	550	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	38169	0	0	0	0	0	0	0	0
NF07	NF	6	800	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	1548	31	0	0	0	0	0	0	0	1481	0	0	0	0	0	0	1992	0	0	0	0	575	513	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	3948	0	0	0	4213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	44	0	0	0	0	0	1	0	0	0	2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31090	0	4	0	317	0	0	0	0	11677	0	0	617	0
NF08	NF	6	900	-1	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	271	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	391	0	12	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	10	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	283	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	1545	0	0	0	0	0	0	249	0	0	0	0	0	169	0	0	0	0	0	57	181	0	2253	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6826	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	893	0	0	0	0	0	5983	0	0	0	0	0	0	0	7	0	183	0	0	0	0	2222	0	70836	378	1766
NF09	NF	6	900	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	16	0	0	63	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	140	1	0	0	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	146	0	0	0	0	0	0	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	902	27	0	0	0	0	0	0	0	0	0	0	0	0	0	1177	0	679	0	0	0	0	0	0	81	0	0	0	0	0	0	0	1	0	1124	0	557	0	0	0	0	1	0	0	0	0	139	0	0	0	0	0	1157	12	0	0	0	143	0	0	0	0	0	0	0	196	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	1	0	0	0	3799	0	500	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	11584	0	0	0	0	33	0	0	0	0	0	0	0	630	19	1	85	0	0	0	0	1299	0	5355	6118	1147
NF10	NF	6	1100	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	44	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	223	3	0	62	0	0	0	0	0	0	86	13	54
NF11	NF	6	1400	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	16	0	50	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	61	0	4	3	0	0	63	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	81	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	12	0	0	0	0	0	0	190	0	0	0	0	3	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	27	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	119	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711	0	0	0	0	618	0	0	3	0	0	0	0	19	15	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2957	0	0	0	0	0	0	0	0	0	0	0	2331	0	0	0	0	0	0	0	5001	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8006	0	0	4	384	0	0	0	0	0	3746	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	441	1	1	3653	8	0	0	0	2	4	0	13	1216
